ICEberg|14_IME|gi|4779169555|ref|WP_000022172.1||site-specific|integrase|[Streptococcus|agalactiae|NEM316]	NZ_CP019041.1	22.393	326	213	10	63	381	1328829	1327951	5.17e-12	64.7	NZ_CP091358.1	23.871	310	174	12	71	365	1300387	1299599	9.62e-08	51.2	NZ_CP078045.1	199	70	368	196009	195158	8.09e-17	79.7	NZ_CP048014.1	22.963	270	173	7	334	1086548	1087267	2.15e-10	59.3	ICEberg|160_IME|gi|7574689429|ref|WP_014002571.1||site-specific|integrase|[Acidithiobacillus|caldus|SM-1]	NZ_CP070518.1	22.449	245	167	8	111	336	1664339	1665061	5.01e-08	51.6	NZ_CP027658.1	25.743	303	166	97	384	908643	909419	2.42e-19	87.4	NZ_CP139270.1	25.000	304	13	101	340072	339266	3.06e-11	62.4
ICEberg|14_IME|gi|4779169555|ref|WP_000022172.1||site-specific|integrase|[Streptococcus|agalactiae|NEM316]	NZ_CP019041.1	27.184	206.0	122.0	9.0	166.0	368.0	115473.0	116015.0	6.44e-12	64.3																																																												
ICEberg|160_IME|gi|7574689429|ref|WP_014002571.1||site-specific|integrase|[Acidithiobacillus|caldus|SM-1]	NZ_CP019041.1	29.063	320.0	204.0	10.0	30.0	332.0	1582243.0	1583184.0	9.69e-20	87.4																																																												
ICEberg|160_IME|gi|7574689429|ref|WP_014002571.1||site-specific|integrase|[Acidithiobacillus|caldus|SM-1]	NZ_CP019041.1	36.62	71.0	38.0	1.0	269.0	332.0	876251.0	876463.0	1.65e-09	56.2																																																												
ICEberg|160_IME|gi|7574689429|ref|WP_014002571.1||site-specific|integrase|[Acidithiobacillus|caldus|SM-1]	NZ_CP019041.1	23.265	245.0	165.0	8.0	111.0	336.0	3363371.0	3364093.0	8.43e-08	50.8																																																												
ICEberg|160_IME|gi|7574689429|ref|WP_014002571.1||site-specific|integrase|[Acidithiobacillus|caldus|SM-1]	NZ_CP019041.1	23.466	277.0	180.0	11.0	85.0	336.0	1375557.0	1376366.0	6.71e-07	48.1																																																												
ICEberg|160_IME|gi|7574689444|ref|WP_081254375.1||LysR|family|transcriptional|regulator|[Acidithiobacillus|caldus|SM-1]	NZ_CP019041.1	25.614	285.0	208.0	3.0	1.0	284.0	1097032.0	1096187.0	2.05e-19	85.9																																																												
ICEberg|160_IME|gi|7574689444|ref|WP_081254375.1||LysR|family|transcriptional|regulator|[Acidithiobacillus|caldus|SM-1]	NZ_CP019041.1	23.214	168.0	127.0	2.0	1.0	167.0	1683640.0	1683140.0	1.55e-12	65.1																																																												
ICEberg|160_IME|gi|7574689444|ref|WP_081254375.1||LysR|family|transcriptional|regulator|[Acidithiobacillus|caldus|SM-1]	NZ_CP019041.1	24.551	167.0	123.0	3.0	1.0	166.0	2047171.0	2046677.0	1.18e-11	62.4																																																												
ICEberg|160_IME|gi|7574689444|ref|WP_081254375.1||LysR|family|transcriptional|regulator|[Acidithiobacillus|caldus|SM-1]	NZ_CP019041.1	25.714	175.0	112.0	5.0	1.0	166.0	3188767.0	3189264.0	9.41e-10	56.6																																																												
